metric_name,metric_label,status,is_data_quality,base_model,grain,owner,owner_proposed,format,direction,is_reaggregatable,sql_model,definition_file,description,blocked_reason
cost_per_order,Cost Per Order,provisional,false,fct_shipment,One shipped sales order.,TBD,Director of Sales Operations,currency_usd,lower_is_better,false,mtr_cost_per_order,semantic/metrics/cost_per_order.yml,"The average fulfillment cost of delivering one sales order, measured as carrier charges divided by distinct shipped orders. The cost pool is freight and accessorials only. It is not fully loaded: the general ledger in this estate contains revenue, receivables and tax and nothing else, so warehouse labour, handling and overhead are not represented.",
cost_per_shipment,Cost Per Shipment,active,false,fct_shipment,One shipment.,TBD,Logistics / Transportation Manager,currency_usd,lower_is_better,true,mtr_cost_per_shipment,semantic/metrics/cost_per_shipment.yml,"The average freight cost of moving one shipment, measured as total carrier charges divided by shipments. Charges are the sum of the line-level charge codes on the shipment - freight, fuel surcharge and accessorials - which is what the carrier will invoice and what a cost analyst can decompose. It is not the cost of goods, and it excludes internal handling labour.",
customer_unmatched_rate,Unmatched CRM Customers,active,true,dim_customer,One conformed customer.,TBD,Data Governance Lead,percent,lower_is_better,true,mtr_customer_unmatched_rate,semantic/metrics/customer_unmatched_rate.yml,"The share of CRM companies that cannot be matched to any ERP customer. The business needs to see this number. It is not an engineering embarrassment - it is the measured cost of having no shared key between HubSpot and Sage X3, and it bounds how much of the pipeline can ever be tied to revenue.",
dso_days_to_pay_proxy,DSO (days-to-pay proxy),provisional,false,fct_invoice_line,One settled sales invoice line.,TBD,Controller,days,lower_is_better,true,mtr_dso_days_to_pay_proxy,semantic/metrics/dso_days_to_pay_proxy.yml,"The average number of days between invoicing a customer and that invoice being settled, across settled invoices only. This is a proxy for Days Sales Outstanding, not DSO. Textbook DSO divides an accounts receivable balance by revenue over a period; that requires an open-AR position and cash application, neither of which exists in any source system here.",
inventory_accuracy,Inventory Accuracy,provisional,false,fct_inventory_count_line,One counted stock position.,TBD,Warehouse Operations Manager,percent,higher_is_better,true,mtr_inventory_accuracy,semantic/metrics/inventory_accuracy.yml,"The share of counted stock positions where the counted quantity agrees with the system quantity within tolerance. Measured by position - one item, site, location and lot - which is the common warehouse convention.",
match_rate,Match Rate,provisional,false,fct_supplier_invoice_line,One supplier invoice line.,TBD,AP Manager,percent,higher_is_better,true,mtr_match_rate,semantic/metrics/match_rate.yml,"The share of supplier invoice lines that agree with both the purchase order and the goods receipt within tolerance - the three-way match. A line matches when it references a purchase order, the ordered quantity was received, the invoiced quantity agrees with the received quantity, and the invoiced price agrees with the ordered price.",
on_time_delivery_rate,On-Time Delivery,active,false,fct_shipment,One delivered shipment.,TBD,VP Operations,percent,higher_is_better,true,mtr_on_time_delivery_rate,semantic/metrics/on_time_delivery_rate.yml,"The share of delivered shipments that arrived on or before the promised delivery date. The promise is the carrier's committed delivery date, not the customer's requested date - the two give materially different answers and the business has not yet chosen between them.",
order_reference_coverage_rate,Shipment Order Reference Coverage,active,true,fct_shipment,One shipment.,TBD,Director of Sales Operations,percent,higher_is_better,true,mtr_order_reference_coverage_rate,semantic/metrics/order_reference_coverage_rate.yml,"The share of shipments that resolve to a Sage X3 sales order. This bounds every metric that has to cross the shipment-to-order boundary: Cost Per Order is computed over shipped orders only, and On-Time Delivery measured against the customer's requested date is only available for the shipments this figure covers.",
return_rate,Return Rate,provisional,false,fct_sales_order_line,One sales order line.,TBD,Director of Customer Service,percent,lower_is_better,true,mtr_return_rate,semantic/metrics/return_rate.yml,"The share of invoiced value that customers subsequently return, measured as returned line value divided by invoiced line value on the same order lines. Both sides are order-line amounts in the reporting currency, so the ratio is additive and slices the same way at every level.",
unsettled_invoice_rate,Unsettled Invoice Rate,active,true,fct_invoice_line,One sales invoice line.,TBD,Controller,percent,lower_is_better,true,mtr_unsettled_invoice_rate,semantic/metrics/unsettled_invoice_rate.yml,"The share of invoice lines with no settlement date. This is the mandatory companion to the DSO proxy: the proxy is computed over settled invoices only, so this figure is the size of what it excludes. Published on its own, the proxy looks better than reality by exactly this much.",
